maker,series_name,variant_name,category_mechanism,price_number,weight_g,gear_ratio,pe_capacity_raw,max_drag_kg,jafs_power_kg,jafs_speed_mpm,jan_upc
DAIWA,シーボーグ G,1800M-RJ,electric,374500,,,,,,,
DAIWA,シーボーグ G,1200M,electric,215900,,,,,,,
DAIWA,シーボーグ G,800MJ,electric,193000,,,,,,,
DAIWA,シーボーグ,500MJ-AT,electric,159000,,,,,,,
DAIWA,シーボーグ,600MJ,electric,142000,,,,,,,
DAIWA,シーボーグ,500MJ,electric,137000,,,,,,,
DAIWA,シーボーグ G,400J,electric,123000,,,,,,,
DAIWA,シーパワー,1200,electric,122000,,,,,,,
DAIWA,レオブリッツ,400J,electric,84400,560,5.1,3-500/4-400/5-300,13,11,190,4550133434808
DAIWA,レオブリッツ,300J,electric,83100,,,,,,,
